,Address,Baths,Beds,Latitude,Location,Longitude,Price
0,60 Doncaster Ave,5 baths,4 beds,52.9250634,Toronto,-1.2899774,"$1,299,900 CAD"
1,27 Helena Ave,2 baths,2+2 beds,33.53800109023718,Wychwood,-86.89734643715643,"$1,599,900 CAD"
2,348 Tiffin St,1 baths,2 beds,44.369698489473684,Barrie,-79.71292201578947,"$450,000 CAD"
3,137 Woodcroft Lane,4 baths,3+1 beds,43.79297967592528,Vaughan,-79.60709239069784,"$949,900 CAD"
4,254 Milestone Cres,2 baths,3 beds,43.99436692706317,Aurora,-79.47818601271315,"$479,900 CAD"
5,40 Santone Ave,2 baths,3 beds,42.97369092033899,Welland,-79.26503412372881,"$379,900 CAD"
6,147 Stanley Dr,1 baths,2 beds,40.864909,Grey Highlands,-73.085861183688,"$449,000 CAD"
7,206 Gold Park Gate,4 baths,4 beds,44.31931611234075,Essa,-79.86720876492119,"$799,900 CAD"
8,124 Southbrook Cres,4 baths,5+1 beds,44.61853541840259,Markham,-63.466142038570034,"$1,639,000 CAD"
9,197 Markland Dr,4 baths,4 beds,43.6342653,Markland Wood,-79.582234,"$1,568,000 CAD"
10,51 Oakridge Crt,2 baths,3 beds,39.65814039935906,East Gwillimbury,-75.81143225198178,"$589,888 CAD"
11,96 Hampton Ave,4 baths,5 beds,40.79870925,North Riverdale,-72.847843742588,"$2,995,000 CAD"
12,8 Norbert Rd,2 baths,3 beds,43.666376210958276,Brampton,-79.7556596792047,"$680,000 CAD"
13,65 Derwyn Rd,4 baths,4+1 beds,43.6964506,East York,-79.3346467,"$2,099,000 CAD"
14,16 Tailfin Rd,4 baths,5+1 beds,43.717355905869795,Madoc,-79.76130859723754,"$938,888 CAD"
15,636 Montcalm Ave,2 baths,3 beds,43.8906865,Oshawa,-78.88651128571429,"$399,900 CAD"
16,15641 Mclaughlin Rd,2 baths,3 beds,34.930855,Caledon,-87.558086,"$750,000 CAD"
17,51 Cherrytree Dr,4 baths,4+1 beds,43.6545477055852,Fletcher's Creek South,-79.72004124255292,"$899,999 CAD"
18,48 C Line 114,3 baths,3 beds,25.0437792,Orangeville,121.5084039,"$529,900 CAD"
19,54 Margaret St,0 baths,0 beds,48.20182738934566,Margaret St,-89.27858771399231,"$149,900 CAD"
20,97 Henry St,2 baths,3+2 beds,42.723770211198556,Barrie,-71.14263817485228,"$484,900 CAD"
21,470 Mahogany Crt,3 baths,3 beds,41.090115736993454,Pickering,-74.16459835764688,"$768,800 CAD"
22,60 Russfax Dr,4 baths,5+2 beds,43.78839321666667,Toronto,-79.45153604999999,"$1,199,000 CAD"
23,9 Scotia Dr,4 baths,4+2 beds,43.66216438117792,Brampton,-79.75494067558421,"$859,000 CAD"
24,70 Highland Dr,2 baths,3+1 beds,39.14397078964111,Oro-Medonte,-123.21818702214146,"$709,900 CAD"
25,25 Loon Ave,2 baths,3+1 beds,44.35365884985544,Painswick South,-79.65852689960707,"$649,900 CAD"
26,72 Del Francesco Way,5 baths,4+2 beds,43.85294107386355,Vaughan,-79.54629620757164,"$899,786 CAD"
27,23 Southdale Dr,3 baths,3+1 beds,43.1965986,Markham,-79.2284671,"$999,880 CAD"
28,15 Andretti Cres,5 baths,4+1 beds,43.66907495997425,Credit Valley,-79.81660349155071,"$859,900 CAD"
29,1065 Bowring Cres,4 baths,3+1 beds,43.51401537733354,Milton,-79.84413825658764,"$799,000 CAD"
30,686 Vellore Park Ave,3 baths,3 beds,43.85211,Vellore Park Ave,-79.55829,"$799,000 CAD"
31,137 Waller St,2 baths,3+1 beds,41.83594395918367,Whitby,-71.45132081632653,"$499,000 CAD"
